county_name,fips,land_area_square_miles_2010,primary_ruca_code_2010,secondary_ruca_code_2010,tract_population_2010,tract_population_2018,population_estimate_2010,population_estimate_2011,population_estimate_2012,population_estimate_2013,population_estimate_2014,population_estimate_2015,population_estimate_2016,population_estimate_2018,pct_black_pop_2010,pct_black_pop_2018,pct_white_pop_2010,pct_white_pop_2018,groc09,groc14,superc09,superc14,convs09,convs14,specs09,specs14,poverty_rate,median_family_income,pct_hhold_no_veh,pct_hhold_1_veh,pct_hhold_2plus_veh,food_desert_2010,food_desert_2017
Beaufort,37013930300,3.712279362,4,4,4071,3914,47759,47707,47497,47496,47505,47543,47526,47243,0.255930819,0.255085409,0.681567872,0.714412717,10,10,1,1,32,30,3,4,34,35592,0.177723676,0.510042605,0.312233719,NA,1
Beaufort,37013930400,5.830793811,4,4,5189,4656,47759,47707,47497,47496,47505,47543,47526,47243,0.255930819,0.255085409,0.681567872,0.714412717,10,10,1,1,32,30,3,4,32.3,41111,0.23106267,0.330790191,0.438147139,NA,1
Beaufort,37013930501,7.392343131,4,4,4845,3936,47759,47707,47497,47496,47505,47543,47526,47243,0.255930819,0.255085409,0.681567872,0.714412717,10,10,1,1,32,30,3,4,13,59602,0.038706257,0.341993637,0.619300106,NA,0
Beaufort,37013930502,19.3710411,4,4,3469,4012,47759,47707,47497,47496,47505,47543,47526,47243,0.255930819,0.255085409,0.681567872,0.714412717,10,10,1,1,32,30,3,4,21.8,50149,0.045022194,0.238427394,0.716550412,NA,0
Beaufort,37013930600,61.78789554,5,5,3224,3467,47759,47707,47497,47496,47505,47543,47526,47243,0.255930819,0.255085409,0.681567872,0.714412717,10,10,1,1,32,30,3,4,13.9,54208,0.012884753,0.144595562,0.842519685,NA,0
Beaufort,37013930700,75.88981879,5,5,3023,2467,47759,47707,47497,47496,47505,47543,47526,47243,0.255930819,0.255085409,0.681567872,0.714412717,10,10,1,1,32,30,3,4,11.1,53854,0.046127067,0.301131419,0.652741514,NA,0
Beaufort,37013930800,134.9364623,10,10,2447,2726,47759,47707,47497,47496,47505,47543,47526,47243,0.255930819,0.255085409,0.681567872,0.714412717,10,10,1,1,32,30,3,4,13.8,51563,0.058991437,0.350142721,0.590865842,NA,0
Beaufort,37013930900,127.5148383,5,5,3904,4478,47759,47707,47497,47496,47505,47543,47526,47243,0.255930819,0.255085409,0.681567872,0.714412717,10,10,1,1,32,30,3,4,9,69615,0.03857868,0.269543147,0.691878173,NA,0
Beaufort,37013931000,65.15398681,2,2,6051,5956,47759,47707,47497,47496,47505,47543,47526,47243,0.255930819,0.255085409,0.681567872,0.714412717,10,10,1,1,32,30,3,4,19.8,44933,0.047597043,0.326709797,0.625693161,NA,0
Bertie,37015960100,164.1534416,9,9,5677,5672,21282,20968,20591,20444,20440,20290,19854,19644,0.624753313,0.610771737,0.351846631,0.348248829,6,6,0,0,13,11,0,4,17.4,48536,0.058144506,0.276613938,0.665241556,1,0
Bertie,37015960200,128.476225,9,9,3953,3797,21282,20968,20591,20444,20440,20290,19854,19644,0.624753313,0.610771737,0.351846631,0.348248829,6,6,0,0,13,11,0,4,21.4,41375,0.092160383,0.424296828,0.483542789,NA,0
Bertie,37015960300,201.7408,10,10,3667,3356,21282,20968,20591,20444,20440,20290,19854,19644,0.624753313,0.610771737,0.351846631,0.348248829,6,6,0,0,13,11,0,4,26,35714,0.109510086,0.31556196,0.574927954,NA,0
Bertie,37015960400,204.8993385,7,7,7985,6819,21282,20968,20591,20444,20440,20290,19854,19644,0.624753313,0.610771737,0.351846631,0.348248829,6,6,0,0,13,11,0,4,33.3,34725,0.100853375,0.325058185,0.574088441,NA,1
Bladen,37017950100,316.0911525,10,10,5693,5204,35190,35004,34922,34810,34531,34266,33741,33778,0.348621768,0.350139144,0.56283035,0.57137782,8,7,0,0,22,21,0,0,27,49777,0.100183824,0.298713235,0.601102941,NA,1
Bladen,37017950200,138.7127465,8,8,3366,3226,35190,35004,34922,34810,34531,34266,33741,33778,0.348621768,0.350139144,0.56283035,0.57137782,8,7,0,0,22,21,0,0,25.3,42868,0.120689655,0.227729885,0.65158046,1,0
Bladen,37017950300,87.53575229,2,2,6719,6577,35190,35004,34922,34810,34531,34266,33741,33778,0.348621768,0.350139144,0.56283035,0.57137782,8,7,0,0,22,21,0,0,32.1,34402,0.078100471,0.332417582,0.589481947,NA,0
Bladen,37017950400,52.88265042,7,7,6252,5844,35190,35004,34922,34810,34531,34266,33741,33778,0.348621768,0.350139144,0.56283035,0.57137782,8,7,0,0,22,21,0,0,36.8,39729,0.159775191,0.384183059,0.45604175,NA,1
Bladen,37017950500,83.90323469,10,10,6707,6932,35190,35004,34922,34810,34531,34266,33741,33778,0.348621768,0.350139144,0.56283035,0.57137782,8,7,0,0,22,21,0,0,21.6,42987,0.094504725,0.258662933,0.646832342,NA,0
